url,genes,len
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=258993,"rps7,ndhB,tRNA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbl,psbK,trnQ-UUG,chlB,trnK,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UGA,trnT-GGU,psbD,psbC,trnS-GGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-UGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psal,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,16S,trnI-GAU,ycf68,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,ndhF,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhl,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,ndhF,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,ycf68,16S,trnV-GAC",130
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1480153,psbA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,petA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460915,cysA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,petL,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460917,cysA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2846788,"rps7,ndhB,trnL-CAA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,cysA,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,cysT,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1-2,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",133
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,petA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2136784,"rps7,ndhB,trnL-CAA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,cysA,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,cysT,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1-2,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",133
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=39026,psbC,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,petL,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,psbB,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=39026,petA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460915,"rpl32,cysT",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460920,petN,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,psbC,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,psbM,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460920,rbcL,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,psaB,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=39026,"rps12,rps7,ndhB,trnL-CAA,psbM,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpA,trnR-UCU,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,cysA,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-GCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,cysT,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,rrn5,rrn4.5,rrn23,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",128
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,psbM,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2846786,"rps7,ndhB,trnL-CAA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,cysA,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,cysT,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1-2,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",133
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460921,petN,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460913,cysA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460921,psbB,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460921,psbC,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=414193,"rps7,ndhB,tRNA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbl,psbK,trnQ-UUG,chlB,trnK,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UGA,trnT-GGU,psbD,psbC,trnS-GGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-UGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psal,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,16S,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhl,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,16S,trnV-GAC",130
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460917,"rpl32,cysT",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1755700,"rps7,ndhB,trnL-CAA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,rrn16,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1-2,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,rrn16,trnV-GAC",131
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=2575588,"rps7,ndhB,tRNA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbl,psbK,trnQ-UUG,chlB,trnK,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UGA,trnT-GGU,psbD,psbC,trnS-GGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-UGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psal,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,16S,trnI-GAU,ycf68,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhl,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,ycf68,16S,trnV-GAC",132
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460920,petA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=37395,"rps7,ndhB,trnL-CAA,psbM,ycf66,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-UCC,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,cysA,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-GCC,trnfM-CAU,rps14,psaB,psaA,pafI,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,pafII,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,trnI-GAU,trnA-UGC,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,cysT,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,tic214,chlN,chlL,trnN-GUU,trnR-ACG,trnA-UGC,trnI-GAU,trnV-GAC",123
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=65052,petN,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,psbC,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=39026,"psbK,psbI",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1186967,"rps7,ndhB,tRNA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbl,psbK,trnQ-UUG,chlB,trnK,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UGA,trnT-GGU,psbD,psbC,trnS-GGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-UGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psal,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,16S,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,16S,trnV-GAC",125
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,petN,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=93925,psbA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=642337,"rps7,ndhB,tRNA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbl,psbK,trnQ-UUG,chlB,trnK,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UGA,trnT-GGU,psbD,psbC,trnS-GGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-UGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psal,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,16S,trnI-GAU,ycf68,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhl,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,ycf68,16S,trnV-GAC",132
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,"psbK,psbI",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=460663,"rps7,ndhB,tRNA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-GCC,ycf12,psaM,trnS-GCU,psbl,psbK,trnQ-UUG,chlB,trnK,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UGA,trnT-GGU,psbD,psbC,trnS-GGA,psbZ,trnG-UCC,trnfM-CAU,rps14,psaB,psaA,ycf3,trnS-UGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psal,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,16S,trnI-GAU,ycf68,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhl,ndhA,ndhH,rps15,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,ycf68,16S,trnV-GAC",132
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,petL,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=39026,cysA,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1133302,"rps7,ndhB,trnL-CAA,psbM,ycf66,petN,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-UCC,ycf12,psaM,trnS-GCU,psbl,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-GCC,trnfM-CAU,rps14,psaB,psaA,pafI,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psal,pafII,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,16S,trnI-GAU,trnA-UGC,rrn23,rrn4.5,rrn5,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhl,ndhA,ndhH,rps15,ORF474,ycf1,chlN,chlL,trnN-GUU,trnR-ACG,5S,4.5S,23S,trnA-UGC,trnI-GAU,16S,trnV-GAC",131
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1480154,"rps12,rps7,ndhB,psbM,ycf66,ycf (ORF29),rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,ycf12,ycf (45),psaM,psbI,psbK,chlB,ycf (ORF50),matK,psbA,ycf2,cysA,psbD,psbC,psbZ,rps14,psaB,psaA,pafI,rps4,ndhJ,ndhK,ndhC,atpE,atpB,rbcL,accD,psaI,pafII,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,ndhF,rpl21,rpl32,cysT,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,ORF464,tic214,chlN,chlL",92
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=39026,psbB,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,petN,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=41844,"rps7,ndhB,trnL-CAA,psbM,ycf66,trnC-GCA,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpF,atpA,trnR-UCU,trnG-UCC,ycf12,psaM,trnS-GCU,psbI,psbK,trnQ-UUG,chlB,trnK-UUU,matK,psbA,trnH-GUG,ycf2,trnD-GUC,trnY-GUA,trnE-UUC,cysA,trnT-GGU,psbD,psbC,trnS-UGA,psbZ,trnG-GCC,tRNA-fMet-CAU,rps14,psaB,psaA,pafI,trnS-GGA,rps4,trnT-UGU,trnL-UAA,trnF-GAA,ndhJ,ndhK,ndhC,trnV-UAC,trnM-CAU,atpE,atpB,rbcL,trnR-CCG,accD,psaI,pafII,cemA,petA,psbJ,psbL,psbF,psbE,petL,petG,trnW-CCA,trnP-UGG,psaJ,rpl33,rps18,rpl20,rps12,rps12,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,rpl14,rpl16,rps3,rpl22,rps19,rpl2,rpl23,trnI-CAU,trnV-GAC,trnI-GAU,trnA-UGC,trnR-ACG,trnN-GUU,ndhF,rpl21,rpl32,cysT,trnL-UAG,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps15,tic214,chlN,chlL,trnN-GUU,trnR-ACG,trnA-UGC,trnI-GAU,trnV-GAC",123
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=280810,"psbK,psbI",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=269546,"psbK,psbI",2
